date_of_death,new_deaths,cumulative_deaths,data_as_of,data_loaded_at
11/15/2020 12:00:00 AM,1,166,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/16/2020 12:00:00 AM,0,166,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/17/2020 12:00:00 AM,1,167,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/18/2020 12:00:00 AM,1,168,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/19/2020 12:00:00 AM,0,168,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/20/2020 12:00:00 AM,0,168,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/21/2020 12:00:00 AM,0,168,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/22/2020 12:00:00 AM,0,168,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/23/2020 12:00:00 AM,1,169,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/24/2020 12:00:00 AM,1,170,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/25/2020 12:00:00 AM,0,170,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/26/2020 12:00:00 AM,0,170,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/27/2020 12:00:00 AM,0,170,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/28/2020 12:00:00 AM,1,171,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/29/2020 12:00:00 AM,1,172,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
11/30/2020 12:00:00 AM,1,173,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
12/01/2020 12:00:00 AM,1,174,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
12/02/2020 12:00:00 AM,0,174,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
12/03/2020 12:00:00 AM,1,175,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
12/04/2020 12:00:00 AM,1,176,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
12/05/2020 12:00:00 AM,1,177,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
